State;Year;Month;Frequency;Variable;Value;Unit
Montana;1987;January;Annualy;Total Carbon Emissions;22.32542;Million Metric Tons of Carbon Dioxide
Montana;1994;January;Annualy;Total Carbon Emissions;29.983331;Million Metric Tons of Carbon Dioxide
Montana;2010;January;Annualy;Total Carbon Emissions;34.287455;Million Metric Tons of Carbon Dioxide
Montana;2017;January;Annualy;Total Carbon Emissions;30.46831;Million Metric Tons of Carbon Dioxide
Montana;1980;January;Annualy;Carbon Emissions from Coal;5.645785;Million Metric Tons of Carbon Dioxide
Montana;1989;January;Annualy;Carbon Emissions from Coal;16.879366;Million Metric Tons of Carbon Dioxide
Montana;2017;January;Annualy;Carbon Emissions from Coal;14.904055;Million Metric Tons of Carbon Dioxide
Montana;1986;January;Annualy;Carbon Emissions from Oil;7.818128;Million Metric Tons of Carbon Dioxide
Montana;1999;January;Annualy;Carbon Emissions from Oil;9.799447;Million Metric Tons of Carbon Dioxide
Montana;2001;January;Annualy;Carbon Emissions from Oil;10.504588;Million Metric Tons of Carbon Dioxide
Montana;2003;January;Annualy;Carbon Emissions from Oil;10.441891;Million Metric Tons of Carbon Dioxide
Montana;2011;January;Annualy;Carbon Emissions from Oil;11.366817;Million Metric Tons of Carbon Dioxide
Montana;2013;January;Annualy;Carbon Emissions from Oil;11.286056;Million Metric Tons of Carbon Dioxide
Montana;2017;January;Annualy;Carbon Emissions from Oil;11.163902;Million Metric Tons of Carbon Dioxide
Montana;1980;January;Annualy;Carbon Emissions from Gas;3.246904;Million Metric Tons of Carbon Dioxide
Montana;1983;January;Annualy;Carbon Emissions from Gas;2.462356;Million Metric Tons of Carbon Dioxide
Montana;1984;January;Annualy;Carbon Emissions from Gas;2.486867;Million Metric Tons of Carbon Dioxide
Montana;1985;January;Annualy;Carbon Emissions from Gas;2.498593;Million Metric Tons of Carbon Dioxide
Montana;1986;January;Annualy;Carbon Emissions from Gas;2.17187;Million Metric Tons of Carbon Dioxide
Montana;1991;January;Annualy;Carbon Emissions from Gas;2.46314;Million Metric Tons of Carbon Dioxide
Montana;1994;January;Annualy;Carbon Emissions from Gas;2.810607;Million Metric Tons of Carbon Dioxide
Montana;2007;January;Annualy;Carbon Emissions from Gas;3.969518;Million Metric Tons of Carbon Dioxide
Montana;2013;January;Annualy;Carbon Emissions from Gas;4.350483;Million Metric Tons of Carbon Dioxide
Montana;1980;January;Annualy;Total Per Capita Carbon Emissions;0.025356513;Mg/person
Montana;1981;January;Annualy;Total Per Capita Carbon Emissions;0.023009375;Mg/person
Montana;1982;January;Annualy;Total Per Capita Carbon Emissions;0.019900844;Mg/person
Montana;1988;January;Annualy;Total Per Capita Carbon Emissions;0.03536607;Mg/person
Montana;1992;January;Annualy;Total Per Capita Carbon Emissions;0.036598592;Mg/person
Montana;1995;January;Annualy;Total Per Capita Carbon Emissions;0.03511713;Mg/person
Montana;2012;January;Annualy;Total Per Capita Carbon Emissions;0.030015531;Mg/person
Montana;2013;January;Annualy;Total Per Capita Carbon Emissions;0.031077295;Mg/person
Montana;1982;January;Annualy;Per Capita Carbon Emissions from Coal;0.005721493;Mg/person
Montana;1988;January;Annualy;Per Capita Carbon Emissions from Coal;0.021369604;Mg/person
Montana;1994;January;Annualy;Per Capita Carbon Emissions from Coal;0.021405437;Mg/person
Montana;1996;January;Annualy;Per Capita Carbon Emissions from Coal;0.014943148;Mg/person
Montana;2003;January;Annualy;Per Capita Carbon Emissions from Coal;0.019405566;Mg/person
Montana;2005;January;Annualy;Per Capita Carbon Emissions from Coal;0.02003934;Mg/person
Montana;2016;January;Annualy;Per Capita Carbon Emissions from Coal;0.014856988;Mg/person
Montana;1987;January;Annualy;Per Capita Carbon Emissions from Oil;0.010806608;Mg/person
Montana;1992;January;Annualy;Per Capita Carbon Emissions from Oil;0.011429461;Mg/person
Montana;1993;January;Annualy;Per Capita Carbon Emissions from Oil;0.011787454;Mg/person
Montana;2008;January;Annualy;Per Capita Carbon Emissions from Oil;0.012773223;Mg/person
Montana;2010;January;Annualy;Per Capita Carbon Emissions from Oil;0.011116972;Mg/person
Montana;2013;January;Annualy;Per Capita Carbon Emissions from Oil;0.011135021;Mg/person
Montana;2015;January;Annualy;Per Capita Carbon Emissions from Oil;0.010489355;Mg/person
Montana;1980;January;Annualy;Per Capita Carbon Emissions from Gas;0.004183825;Mg/person
Montana;1987;January;Annualy;Per Capita Carbon Emissions from Gas;0.002608492;Mg/person
Montana;1991;January;Annualy;Per Capita Carbon Emissions from Gas;0.003094684;Mg/person
Montana;1998;January;Annualy;Per Capita Carbon Emissions from Gas;0.003751991;Mg/person
Montana;2000;January;Annualy;Per Capita Carbon Emissions from Gas;0.004085274;Mg/person
Montana;2002;January;Annualy;Per Capita Carbon Emissions from Gas;0.004131493;Mg/person
Montana;2007;January;Annualy;Per Capita Carbon Emissions from Gas;0.004129066;Mg/person
Montana;2010;January;Annualy;Per Capita Carbon Emissions from Gas;0.003888112;Mg/person
Montana;2012;January;Annualy;Per Capita Carbon Emissions from Gas;0.003961412;Mg/person
Montana;2013;January;Annualy;Per Capita Carbon Emissions from Gas;0.004292263;Mg/person
Nebraska;1982;January;Annualy;Total Carbon Emissions;28.766428;Million Metric Tons of Carbon Dioxide
Nebraska;1986;January;Annualy;Total Carbon Emissions;28.779928;Million Metric Tons of Carbon Dioxide
Nebraska;1997;January;Annualy;Total Carbon Emissions;40.87011;Million Metric Tons of Carbon Dioxide
Nebraska;1999;January;Annualy;Total Carbon Emissions;41.705388;Million Metric Tons of Carbon Dioxide
Nebraska;2002;January;Annualy;Total Carbon Emissions;42.33354;Million Metric Tons of Carbon Dioxide
Nebraska;2015;January;Annualy;Total Carbon Emissions;50.686289;Million Metric Tons of Carbon Dioxide
Nebraska;2017;January;Annualy;Total Carbon Emissions;48.011829;Million Metric Tons of Carbon Dioxide
Nebraska;1981;January;Annualy;Carbon Emissions from Coal;9.244529;Million Metric Tons of Carbon Dioxide
Nebraska;1984;January;Annualy;Carbon Emissions from Coal;11.675104;Million Metric Tons of Carbon Dioxide
Nebraska;1985;January;Annualy;Carbon Emissions from Coal;10.856287;Million Metric Tons of Carbon Dioxide
Nebraska;1989;January;Annualy;Carbon Emissions from Coal;12.336678;Million Metric Tons of Carbon Dioxide
Nebraska;1999;January;Annualy;Carbon Emissions from Coal;18.901566;Million Metric Tons of Carbon Dioxide
Nebraska;2001;January;Annualy;Carbon Emissions from Coal;21.598275;Million Metric Tons of Carbon Dioxide
Nebraska;2005;January;Annualy;Carbon Emissions from Coal;21.866891;Million Metric Tons of Carbon Dioxide
Nebraska;2006;January;Annualy;Carbon Emissions from Coal;21.710022;Million Metric Tons of Carbon Dioxide
Nebraska;2007;January;Annualy;Carbon Emissions from Coal;20.70592;Million Metric Tons of Carbon Dioxide
Nebraska;2010;January;Annualy;Carbon Emissions from Coal;24.303779;Million Metric Tons of Carbon Dioxide
Nebraska;1981;January;Annualy;Carbon Emissions from Oil;11.909443;Million Metric Tons of Carbon Dioxide
Nebraska;1982;January;Annualy;Carbon Emissions from Oil;12.500334;Million Metric Tons of Carbon Dioxide
Nebraska;1985;January;Annualy;Carbon Emissions from Oil;13.01357;Million Metric Tons of Carbon Dioxide
Nebraska;1988;January;Annualy;Carbon Emissions from Oil;14.456785;Million Metric Tons of Carbon Dioxide
Nebraska;1997;January;Annualy;Carbon Emissions from Oil;15.512087;Million Metric Tons of Carbon Dioxide
Nebraska;1999;January;Annualy;Carbon Emissions from Oil;16.389675;Million Metric Tons of Carbon Dioxide
Nebraska;2002;January;Annualy;Carbon Emissions from Oil;15.12185;Million Metric Tons of Carbon Dioxide
Nebraska;2008;January;Annualy;Carbon Emissions from Oil;15.048249;Million Metric Tons of Carbon Dioxide
Nebraska;2011;January;Annualy;Carbon Emissions from Oil;15.792461;Million Metric Tons of Carbon Dioxide
Nebraska;1982;January;Annualy;Carbon Emissions from Gas;7.181153;Million Metric Tons of Carbon Dioxide
Nebraska;1988;January;Annualy;Carbon Emissions from Gas;6.346227;Million Metric Tons of Carbon Dioxide
Nebraska;1997;January;Annualy;Carbon Emissions from Gas;6.985738;Million Metric Tons of Carbon Dioxide
Nebraska;1999;January;Annualy;Carbon Emissions from Gas;6.414147;Million Metric Tons of Carbon Dioxide
Nebraska;2003;January;Annualy;Carbon Emissions from Gas;6.331012;Million Metric Tons of Carbon Dioxide
Nebraska;2012;January;Annualy;Carbon Emissions from Gas;8.557382;Million Metric Tons of Carbon Dioxide
Nebraska;2016;January;Annualy;Carbon Emissions from Gas;9.152696;Million Metric Tons of Carbon Dioxide
Nebraska;1980;January;Annualy;Total Per Capita Carbon Emissions;0.01927118;Mg/person
Nebraska;1993;January;Annualy;Total Per Capita Carbon Emissions;0.022330442;Mg/person
Nebraska;1994;January;Annualy;Total Per Capita Carbon Emissions;0.022139297;Mg/person
Nebraska;1998;January;Annualy;Total Per Capita Carbon Emissions;0.025891573;Mg/person
Nebraska;2003;January;Annualy;Total Per Capita Carbon Emissions;0.02499683;Mg/person
Nebraska;2011;January;Annualy;Total Per Capita Carbon Emissions;0.028375118;Mg/person
Nebraska;2014;January;Annualy;Total Per Capita Carbon Emissions;0.027767356;Mg/person
Nebraska;1981;January;Annualy;Per Capita Carbon Emissions from Coal;0.005828263;Mg/person
Nebraska;1987;January;Annualy;Per Capita Carbon Emissions from Coal;0.006957978;Mg/person
Nebraska;1988;January;Annualy;Per Capita Carbon Emissions from Coal;0.008336107;Mg/person
Nebraska;1997;January;Annualy;Per Capita Carbon Emissions from Coal;0.011050444;Mg/person
Nebraska;1998;January;Annualy;Per Capita Carbon Emissions from Coal;0.011621102;Mg/person
Nebraska;2007;January;Annualy;Per Capita Carbon Emissions from Coal;0.011485;Mg/person
Nebraska;2012;January;Annualy;Per Capita Carbon Emissions from Coal;0.014040289;Mg/person
Nebraska;2013;January;Annualy;Per Capita Carbon Emissions from Coal;0.014991657;Mg/person
Nebraska;1981;January;Annualy;Per Capita Carbon Emissions from Oil;0.007665432;Mg/person
Nebraska;1983;January;Annualy;Per Capita Carbon Emissions from Oil;0.008458031;Mg/person
Nebraska;1985;January;Annualy;Per Capita Carbon Emissions from Oil;0.008266737;Mg/person
Nebraska;1986;January;Annualy;Per Capita Carbon Emissions from Oil;0.008320984;Mg/person
Nebraska;1991;January;Annualy;Per Capita Carbon Emissions from Oil;0.008423408;Mg/person
Nebraska;1992;January;Annualy;Per Capita Carbon Emissions from Oil;0.00861205;Mg/person
Nebraska;2006;January;Annualy;Per Capita Carbon Emissions from Oil;0.008929365;Mg/person
Nebraska;1980;January;Annualy;Per Capita Carbon Emissions from Gas;0.005406107;Mg/person
Nebraska;1990;January;Annualy;Per Capita Carbon Emissions from Gas;0.003606079;Mg/person
Nebraska;1991;January;Annualy;Per Capita Carbon Emissions from Gas;0.003708814;Mg/person
Nebraska;1999;January;Annualy;Per Capita Carbon Emissions from Gas;0.003841472;Mg/person
Nebraska;2003;January;Annualy;Per Capita Carbon Emissions from Gas;0.003654032;Mg/person
Nebraska;2011;January;Annualy;Per Capita Carbon Emissions from Gas;0.004992875;Mg/person
Nebraska;2015;January;Annualy;Per Capita Carbon Emissions from Gas;0.004765373;Mg/person
Nebraska;2016;January;Annualy;Per Capita Carbon Emissions from Gas;0.004802236;Mg/person
Nevada;1980;January;Annualy;Total Carbon Emissions;22.130614;Million Metric Tons of Carbon Dioxide
Nevada;1985;January;Annualy;Total Carbon Emissions;23.239387;Million Metric Tons of Carbon Dioxide
Nevada;1986;January;Annualy;Total Carbon Emissions;26.815336;Million Metric Tons of Carbon Dioxide
Nevada;1989;January;Annualy;Total Carbon Emissions;31.164844;Million Metric Tons of Carbon Dioxide
Nevada;1991;January;Annualy;Total Carbon Emissions;32.562623;Million Metric Tons of Carbon Dioxide
Nevada;1999;January;Annualy;Total Carbon Emissions;41.179977;Million Metric Tons of Carbon Dioxide
Nevada;2001;January;Annualy;Total Carbon Emissions;44.573498;Million Metric Tons of Carbon Dioxide
Nevada;2009;January;Annualy;Total Carbon Emissions;39.231333;Million Metric Tons of Carbon Dioxide
Nevada;2015;January;Annualy;Total Carbon Emissions;35.097105;Million Metric Tons of Carbon Dioxide
Nevada;1991;January;Annualy;Carbon Emissions from Coal;17.172314;Million Metric Tons of Carbon Dioxide
Nevada;1996;January;Annualy;Carbon Emissions from Coal;16.112124;Million Metric Tons of Carbon Dioxide
Nevada;2010;January;Annualy;Carbon Emissions from Coal;7.659752;Million Metric Tons of Carbon Dioxide
Nevada;2011;January;Annualy;Carbon Emissions from Coal;5.987125;Million Metric Tons of Carbon Dioxide
Nevada;1986;January;Annualy;Carbon Emissions from Oil;9.744136;Million Metric Tons of Carbon Dioxide
Nevada;1988;January;Annualy;Carbon Emissions from Oil;11.281487;Million Metric Tons of Carbon Dioxide
Nevada;1989;January;Annualy;Carbon Emissions from Oil;11.682083;Million Metric Tons of Carbon Dioxide
Nevada;2006;January;Annualy;Carbon Emissions from Oil;19.617017;Million Metric Tons of Carbon Dioxide
Nevada;1988;January;Annualy;Carbon Emissions from Gas;2.551807;Million Metric Tons of Carbon Dioxide
Nevada;1989;January;Annualy;Carbon Emissions from Gas;3.462942;Million Metric Tons of Carbon Dioxide
Nevada;1990;January;Annualy;Carbon Emissions from Gas;3.532432;Million Metric Tons of Carbon Dioxide
Nevada;1994;January;Annualy;Carbon Emissions from Gas;5.546333;Million Metric Tons of Carbon Dioxide
Nevada;1996;January;Annualy;Carbon Emissions from Gas;6.709109;Million Metric Tons of Carbon Dioxide
Nevada;2003;January;Annualy;Carbon Emissions from Gas;10.113582;Million Metric Tons of Carbon Dioxide
Nevada;2006;January;Annualy;Carbon Emissions from Gas;13.651475;Million Metric Tons of Carbon Dioxide
Nevada;2009;January;Annualy;Carbon Emissions from Gas;15.053979;Million Metric Tons of Carbon Dioxide
Nevada;2016;January;Annualy;Carbon Emissions from Gas;16.780851;Million Metric Tons of Carbon Dioxide
Nevada;1982;January;Annualy;Total Per Capita Carbon Emissions;0.028586435;Mg/person
Nevada;1984;January;Annualy;Total Per Capita Carbon Emissions;0.02843483;Mg/person
Nevada;1991;January;Annualy;Total Per Capita Carbon Emissions;0.025290923;Mg/person
Nevada;1994;January;Annualy;Total Per Capita Carbon Emissions;0.024924677;Mg/person
Nevada;1996;January;Annualy;Total Per Capita Carbon Emissions;0.023865063;Mg/person
Nevada;2004;January;Annualy;Total Per Capita Carbon Emissions;0.020346745;Mg/person
Nevada;2009;January;Annualy;Total Per Capita Carbon Emissions;0.014672938;Mg/person
Nevada;2010;January;Annualy;Total Per Capita Carbon Emissions;0.013842492;Mg/person
Nevada;1984;January;Annualy;Per Capita Carbon Emissions from Coal;0.015785115;Mg/person
Nevada;1987;January;Annualy;Per Capita Carbon Emissions from Coal;0.014266506;Mg/person
Nevada;1993;January;Annualy;Per Capita Carbon Emissions from Coal;0.011737455;Mg/person
Nevada;1997;January;Annualy;Per Capita Carbon Emissions from Coal;0.009369884;Mg/person
Nevada;1998;January;Annualy;Per Capita Carbon Emissions from Coal;0.009978369;Mg/person
Nevada;1999;January;Annualy;Per Capita Carbon Emissions from Coal;0.009506686;Mg/person
Nevada;2007;January;Annualy;Per Capita Carbon Emissions from Coal;0.003009224;Mg/person
Nevada;2008;January;Annualy;Per Capita Carbon Emissions from Coal;0.003154168;Mg/person
Nevada;2016;January;Annualy;Per Capita Carbon Emissions from Coal;0.00100458;Mg/person
Nevada;1980;January;Annualy;Per Capita Carbon Emissions from Oil;0.012712675;Mg/person
Nevada;1987;January;Annualy;Per Capita Carbon Emissions from Oil;0.010260159;Mg/person
Nevada;1990;January;Annualy;Per Capita Carbon Emissions from Oil;0.009436834;Mg/person
Nevada;1994;January;Annualy;Per Capita Carbon Emissions from Oil;0.009406834;Mg/person
Nevada;2010;January;Annualy;Per Capita Carbon Emissions from Oil;0.005756487;Mg/person
Nevada;1980;January;Annualy;Per Capita Carbon Emissions from Gas;0.004072993;Mg/person
Nevada;1984;January;Annualy;Per Capita Carbon Emissions from Gas;0.002594813;Mg/person
Nevada;1986;January;Annualy;Per Capita Carbon Emissions from Gas;0.001937564;Mg/person
Nevada;1991;January;Annualy;Per Capita Carbon Emissions from Gas;0.002801456;Mg/person
Nevada;2000;January;Annualy;Per Capita Carbon Emissions from Gas;0.00510203;Mg/person
Nevada;2009;January;Annualy;Per Capita Carbon Emissions from Gas;0.005612792;Mg/person
Nevada;2012;January;Annualy;Per Capita Carbon Emissions from Gas;0.005434107;Mg/person
New Hampshire;1984;January;Annualy;Total Carbon Emissions;13.080788;Million Metric Tons of Carbon Dioxide
New Hampshire;1987;January;Annualy;Total Carbon Emissions;15.278765;Million Metric Tons of Carbon Dioxide
New Hampshire;1992;January;Annualy;Total Carbon Emissions;14.43101;Million Metric Tons of Carbon Dioxide
New Hampshire;1997;January;Annualy;Total Carbon Emissions;16.546924;Million Metric Tons of Carbon Dioxide
New Hampshire;2003;January;Annualy;Total Carbon Emissions;20.856555;Million Metric Tons of Carbon Dioxide
New Hampshire;2007;January;Annualy;Total Carbon Emissions;19.102591;Million Metric Tons of Carbon Dioxide
New Hampshire;2011;January;Annualy;Total Carbon Emissions;16.149663;Million Metric Tons of Carbon Dioxide
